,steps,heart_rate,raw_intensity,feeling_rate,time_of_day
361,181,86.15,36.19,3,Morning
362,176,89.85,30.81,3,Morning
363,0,82.25,23.04,3,Morning
364,297,85.57,34.73,3,Noon
365,308,85.82,47.55,3,Noon
366,1761,89.9,70.97,3,Noon
367,0,96.0,6.0,3,Noon
368,2859,91.46,75.5,3,Evening
369,853,89.51,70.23,3,Evening
370,1157,91.37,74.23,3,Evening
371,2972,87.0,68.92,3,Evening
372,779,85.82,46.0,3,Night
373,216,92.0,48.84,3,Night
374,102,95.7,66.54,3,Morning
375,209,92.44,68.1,3,Noon
376,153,92.48,67.65,3,Noon
377,321,91.6,81.67,3,Noon
378,294,94.0,77.57,3,Noon
379,1446,96.0,86.15,3,Evening
380,3831,91.2,88.44,3,Evening
381,767,94.61,79.98,3,Evening
382,413,93.02,73.33,3,Evening
383,355,90.86,52.49,3,Night
384,169,86.63,37.34,3,Night
385,380,97.21,51.36,3,Morning
386,217,89.39,43.34,3,Morning
387,218,92.8,47.22,3,Morning
388,755,95.58,60.7,3,Morning
389,2746,79.25,67.06,3,Noon
390,3637,83.56,79.66,3,Noon
391,744,83.9,50.47,3,Noon
392,10,81.21,35.98,4,Noon
393,55,83.93,42.68,4,Evening
394,21,84.53,31.83,4,Evening
395,0,87.24,22.48,4,Evening
396,0,81.68,33.79,4,Evening
397,976,89.24,55.67,4,Night
398,1535,83.43,68.0,4,Night
399,93,92.75,33.89,4,Early Morning
400,396,84.32,42.73,4,Morning
401,254,90.53,47.68,4,Morning
402,103,87.11,34.31,3,Morning
403,45,86.77,34.44,3,Morning
404,209,85.69,43.98,3,Noon
405,260,87.41,43.69,3,Noon
406,180,84.63,43.96,3,Noon
407,558,92.44,85.75,3,Noon
408,125,93.58,94.08,3,Evening
409,686,88.77,63.34,3,Evening
410,59,88.44,31.41,3,Evening
411,111,81.25,30.1,3,Evening
412,0,115.0,7.0,3,Night
413,1170,101.7,70.96,3,Early Morning
414,1196,90.21,52.32,3,Early Morning
415,885,88.35,39.67,3,Morning
416,283,87.15,37.7,3,Morning
417,46,85.61,32.83,3,Morning
418,195,86.15,36.98,3,Morning
419,357,88.36,41.67,3,Noon
420,1073,88.21,49.67,3,Noon
421,2609,82.67,65.05,3,Noon
422,0,81.43,33.45,4,Noon
423,19,80.28,34.47,4,Evening
424,2228,81.07,61.91,4,Evening
425,187,85.85,37.33,4,Evening
426,0,82.07,27.02,4,Evening
427,166,87.28,41.64,4,Night
428,1406,105.07,82.62,4,Early Morning
429,1098,84.11,49.81,4,Early Morning
430,266,83.27,34.71,4,Morning
431,241,82.61,39.7,4,Morning
432,554,85.71,41.09,4,Morning
433,63,85.24,28.22,4,Morning
434,144,86.9,27.09,4,Noon
435,223,85.65,29.39,4,Noon
436,494,91.79,58.05,4,Noon
437,2100,88.0,67.43,4,Noon
438,705,90.8,66.3,2,Evening
439,313,88.64,56.74,2,Evening
440,1104,85.33,58.48,2,Evening
441,1906,94.12,74.22,2,Evening
442,1548,85.0,58.93,2,Night
443,131,82.58,42.33,5,Morning
444,476,94.59,80.47,5,Morning
445,351,94.55,93.57,5,Morning
446,157,85.6,36.92,4,Morning
447,233,86.97,45.37,4,Noon
448,203,87.79,35.69,4,Noon
449,144,85.82,36.25,4,Noon
450,3216,92.0,83.64,4,Noon
451,140,83.72,42.35,4,Evening
452,38,89.41,27.04,4,Evening
453,244,87.81,52.66,4,Evening
454,59,87.0,38.7,4,Evening
455,0,134.0,28.0,4,Night
456,40,98.75,50.36,4,Early Morning
457,1882,87.86,61.27,4,Early Morning
458,77,88.32,31.88,4,Early Morning
459,197,85.21,30.94,4,Morning
460,121,80.92,28.75,4,Morning
461,235,83.2,31.75,5,Morning
462,739,84.52,37.67,5,Morning
463,134,89.96,29.14,5,Noon
464,1448,92.11,58.58,5,Noon
465,0,115.0,32.0,3,Noon
466,2738,100.7,86.79,3,Noon
467,2353,88.67,71.25,3,Evening
468,190,81.92,37.49,3,Evening
469,3014,83.05,73.53,3,Evening
470,1221,90.86,62.31,3,Evening
471,38,81.36,43.75,3,Night
472,27,141.5,42.5,5,Morning
473,2743,89.17,78.83,5,Morning
474,2020,91.2,67.27,5,Morning
475,111,88.89,31.41,3,Morning
476,461,87.31,55.81,3,Noon
477,100,84.71,32.42,3,Noon
478,95,85.54,33.57,3,Noon
479,102,85.33,37.69,2,Noon
480,2025,89.07,80.48,2,Evening
481,387,87.79,63.96,2,Evening
482,222,89.67,39.2,2,Evening
483,88,86.96,37.63,2,Evening
484,99,90.07,34.76,2,Night
485,0,87.56,29.72,4,Night
486,1089,89.29,85.17,4,Morning
487,1429,83.29,49.74,4,Morning
488,25,83.93,38.63,4,Morning
489,1576,87.24,72.48,3,Morning
490,0,81.74,22.76,3,Noon
491,0,80.0,29.63,4,Noon
492,18,87.17,41.2,4,Noon
493,106,87.85,38.81,4,Noon
494,2392,89.21,70.35,4,Evening
495,1720,85.19,50.46,4,Evening
496,24,82.0,33.59,4,Evening
497,0,81.8,19.65,4,Evening
498,12,82.55,29.38,4,Night
499,347,84.9,38.81,5,Night
500,278,83.65,45.54,5,Night
501,41,123.5,58.5,5,Early Morning
502,147,86.64,40.12,5,Early Morning
503,1578,82.74,57.14,5,Morning
504,224,85.88,36.88,5,Morning
505,201,85.02,29.72,5,Morning
506,281,81.52,34.11,4,Morning
507,150,80.94,29.95,4,Noon
508,747,84.0,49.0,4,Noon
509,332,85.24,34.68,4,Noon
510,835,87.64,66.84,4,Noon
511,630,87.16,57.11,4,Evening
512,401,93.84,85.31,4,Evening
513,300,86.63,47.95,4,Evening
514,48,88.0,27.48,4,Evening
515,29,80.0,49.5,4,Night
516,120,133.0,71.38,4,Early Morning
517,65,81.16,24.52,4,Early Morning
518,75,81.16,31.54,4,Morning
519,278,81.33,37.22,4,Morning
520,746,84.92,53.88,3,Morning
521,372,88.89,45.41,3,Morning
522,159,84.17,35.47,3,Noon
523,22,82.2,26.83,3,Noon
524,2048,86.4,78.84,3,Noon
525,359,84.36,33.02,2,Noon
526,43,86.29,31.02,2,Evening
527,26,97.18,29.74,2,Evening
528,2113,88.03,69.78,2,Evening
529,63,82.72,28.78,2,Evening
530,52,83.05,18.33,2,Night
531,50,90.5,34.85,2,Early Morning
532,445,90.11,52.1,2,Morning
533,278,87.6,39.79,2,Morning
534,260,90.67,40.16,3,Morning
535,10,84.57,27.05,3,Morning
536,518,86.49,59.88,3,Noon
537,1518,85.0,54.87,3,Noon
538,2306,90.95,74.03,3,Noon
539,684,92.61,55.09,2,Noon
540,739,86.04,54.57,2,Evening
541,1454,84.51,51.55,2,Evening
542,2291,80.0,71.54,2,Evening
543,1961,92.19,73.55,2,Evening
544,129,86.4,41.77,2,Night
545,58,93.33,69.0,2,Night
546,75,102.14,58.5,4,Early Morning
547,2135,88.72,71.76,4,Early Morning
548,404,84.36,40.25,4,Early Morning
549,148,84.95,35.41,4,Morning
550,396,82.67,39.72,4,Morning
551,390,85.09,42.12,4,Morning
552,0,84.41,25.69,3,Morning
553,200,81.57,28.61,3,Noon
554,1364,86.49,51.67,3,Noon
555,224,83.92,43.08,3,Noon
556,1099,85.62,59.68,3,Noon
557,3351,85.82,77.93,3,Evening
558,721,92.9,83.2,3,Evening
559,83,86.61,47.13,3,Evening
560,220,94.93,75.49,3,Evening
561,28,144.0,60.83,4,Early Morning
562,1809,84.57,73.24,4,Early Morning
563,853,82.95,39.61,4,Early Morning
564,0,80.65,19.22,4,Morning
565,309,81.42,35.96,4,Morning
566,328,81.7,30.95,4,Morning
567,371,83.43,36.69,4,Morning
568,224,83.74,33.74,4,Noon
569,228,81.85,32.36,4,Noon
570,1096,81.52,53.86,4,Noon
571,385,80.0,87.88,3,Noon
572,2463,97.8,77.8,3,Evening
573,165,85.71,41.19,3,Evening
574,59,85.22,29.06,3,Evening
575,11,80.76,23.79,3,Evening
576,28,81.23,24.59,3,Night
577,9,82.92,24.64,3,Night
578,0,113.33,22.79,3,Early Morning
579,706,87.16,52.87,3,Morning
580,1892,85.47,53.71,3,Morning
581,1194,84.47,48.22,3,Morning
582,295,83.33,45.96,3,Morning
583,125,86.8,39.04,3,Noon
584,292,84.36,47.35,3,Noon
585,200,87.58,46.33,4,Noon
586,185,88.17,51.84,4,Noon
587,358,92.72,47.64,4,Evening
588,1304,92.24,62.48,4,Evening
589,1339,89.95,55.77,4,Evening
590,282,82.55,34.42,4,Evening
591,241,83.84,36.93,4,Night
592,126,80.91,34.84,4,Night
593,1621,83.03,54.76,4,Night
594,1075,88.5,78.05,4,Night
595,1403,100.95,69.03,4,Morning
596,337,83.37,52.58,4,Morning
597,607,93.33,73.33,4,Morning
598,1488,89.48,81.96,4,Noon
599,698,84.98,40.05,4,Noon
600,781,83.9,39.85,4,Noon
601,697,81.42,37.23,4,Noon
602,9,81.54,14.83,4,Evening
603,141,82.21,31.58,4,Evening
604,1274,80.0,54.97,4,Evening
605,2078,82.0,60.3,4,Evening
606,26,82.0,33.06,4,Night
607,435,143.0,105.22,5,Early Morning
608,637,87.02,50.88,5,Early Morning
609,220,88.93,42.33,5,Morning
610,363,89.44,49.4,5,Morning
611,1357,87.17,58.2,3,Morning
612,15,81.9,38.12,3,Morning
613,27,86.74,34.86,3,Noon
614,285,87.44,43.83,3,Noon
615,613,89.45,52.11,3,Noon
616,2728,94.15,84.9,3,Noon
617,1825,87.5,61.4,3,Evening
618,1348,90.97,65.53,3,Evening
619,1161,82.91,54.95,3,Evening
620,940,92.12,59.82,3,Evening
621,194,87.64,41.25,3,Night
622,0,97.5,30.5,4,Night
623,5,87.33,34.0,4,Early Morning
624,117,89.77,42.47,4,Early Morning
625,695,92.69,51.75,4,Morning
626,347,91.79,43.72,4,Morning
627,158,85.22,38.71,4,Morning
628,276,87.64,45.61,4,Morning
629,394,87.8,42.73,4,Noon
630,141,85.45,38.0,4,Noon
631,2028,92.27,72.34,4,Noon
632,1569,85.94,56.95,4,Noon
633,1664,83.56,61.02,4,Evening
634,246,86.86,42.58,4,Evening
635,61,84.62,37.56,4,Evening
636,11,85.15,37.39,4,Evening
637,51,83.0,33.84,4,Night
638,150,136.5,94.5,4,Early Morning
639,2926,88.8,72.15,4,Early Morning
640,683,90.78,44.41,4,Morning
641,1259,85.05,54.43,4,Morning
642,281,83.67,41.47,4,Morning
643,76,82.91,33.97,4,Morning
644,224,85.43,34.5,4,Noon
645,99,87.14,33.6,4,Noon
646,322,84.36,40.97,4,Noon
647,245,85.33,43.25,4,Noon
648,2415,92.44,79.9,4,Evening
649,1730,95.06,71.53,4,Evening
650,3436,83.37,81.32,4,Evening
