,steps,steps_so_far,heart_rate,min_heart,max_heart,raw_intensity,feeling_rate,time_of_day,gender
217,64,7305,84.74,96.0,80.0,36.66,4,5,female
218,95,7400,81.78,96.0,80.0,33.14,4,5,female
219,0,7400,84.21,96.0,80.0,35.63,4,5,female
220,2682,10082,88.0,96.0,80.0,72.33,4,5,female
221,451,10533,88.83,96.0,80.0,48.37,4,6,female
222,383,383,111.57,144.0,80.0,63.34,4,2,female
223,0,383,87.86,96.0,80.0,31.64,4,2,female
224,661,1044,84.65,96.0,80.0,59.93,4,3,female
225,303,1347,89.68,96.0,80.0,43.02,4,3,female
226,109,1456,84.74,96.0,80.0,34.76,4,3,female
227,410,1866,85.46,96.0,80.0,54.87,4,3,female
228,2168,4034,83.31,96.0,80.0,63.48,4,4,female
229,1305,5339,88.2,96.0,80.0,60.77,4,4,female
230,2133,7472,82.74,96.0,80.0,71.97,4,4,female
231,2306,9778,85.52,96.0,80.0,63.63,4,4,female
232,229,10007,83.35,96.0,80.0,41.43,4,5,female
233,59,10066,81.39,96.0,80.0,25.88,4,5,female
234,40,10106,81.33,96.0,80.0,28.72,4,5,female
235,61,10167,85.93,96.0,80.0,36.33,4,5,female
236,3,10170,83.2,96.0,80.0,37.73,4,6,female
237,549,549,85.33,96.0,80.0,67.42,4,2,female
238,1561,2110,85.05,96.0,80.0,55.22,4,2,female
239,1163,3273,85.38,96.0,49.0,55.81,4,3,female
240,208,3481,88.62,96.0,80.0,34.17,4,3,female
241,285,3766,84.71,96.0,80.0,38.23,4,3,female
242,0,3766,89.07,96.0,80.0,24.78,4,3,female
243,327,4093,92.87,96.0,80.0,35.78,4,4,female
244,198,4291,87.53,96.0,80.0,30.81,4,4,female
245,1956,6247,86.43,96.0,49.0,61.08,4,4,female
246,1184,7431,85.65,96.0,80.0,61.72,4,4,female
247,651,8082,92.4,96.0,80.0,64.67,4,5,female
248,882,8964,85.5,96.0,80.0,56.68,4,5,female
249,2610,11574,85.12,96.0,80.0,64.68,4,5,female
250,1488,13062,86.32,96.0,80.0,53.21,4,5,female
251,69,13131,88.73,96.0,80.0,35.73,4,6,female
252,32,32,89.77,144.0,80.0,36.2,4,2,female
253,463,495,89.37,96.0,80.0,49.09,4,3,female
254,108,603,87.69,96.0,80.0,39.9,4,3,female
255,140,743,87.84,96.0,80.0,37.32,4,3,female
256,391,1134,87.53,96.0,80.0,47.5,4,3,female
257,173,1307,87.02,96.0,80.0,38.93,4,4,female
258,158,1465,84.77,96.0,80.0,37.76,4,4,female
259,97,1562,88.0,96.0,80.0,34.25,4,4,female
260,491,2053,95.64,96.0,80.0,101.32,4,4,female
261,786,2839,96.0,96.0,96.0,91.69,4,5,female
262,10,2849,89.19,96.0,80.0,25.16,4,5,female
263,280,3129,84.0,96.0,80.0,58.27,4,5,female
264,138,3267,87.38,96.0,80.0,40.46,4,5,female
265,105,3372,88.15,96.0,80.0,39.75,4,6,female
266,27,3399,96.43,99.0,96.0,52.25,4,6,female
267,1372,1372,101.19,145.0,96.0,82.88,4,2,female
268,836,2208,86.49,96.0,49.0,39.44,4,2,female
269,56,2264,90.18,96.0,80.0,28.73,4,3,female
270,332,2596,86.59,96.0,80.0,41.4,4,3,female
271,49,2645,86.27,96.0,80.0,32.12,4,3,female
272,224,2869,87.3,96.0,80.0,39.04,4,3,female
273,208,3077,90.67,96.0,80.0,30.98,4,4,female
274,269,3346,85.11,96.0,80.0,33.0,4,4,female
275,1062,4408,84.95,96.0,80.0,41.31,4,4,female
276,542,4950,96.5,99.0,96.0,93.22,4,4,female
277,2900,7850,81.36,96.0,49.0,72.98,4,5,female
278,54,7904,84.67,96.0,80.0,37.1,4,5,female
279,2622,10526,92.31,96.0,80.0,76.71,4,5,female
280,668,11194,90.38,96.0,80.0,53.83,4,5,female
281,19,11213,80.31,96.0,80.0,32.0,4,6,female
282,54,11267,82.71,96.0,80.0,42.22,4,6,female
283,342,342,93.42,129.0,80.0,61.02,4,3,female
284,2192,2534,82.67,96.0,80.0,64.64,4,3,female
285,232,2766,94.3,96.0,80.0,85.4,4,3,female
286,1916,4682,88.96,96.0,80.0,66.62,4,3,female
287,180,4862,83.52,96.0,80.0,38.18,4,4,female
288,22,4884,83.71,96.0,80.0,37.36,4,4,female
289,152,5036,85.13,96.0,80.0,48.43,4,4,female
290,966,6002,83.05,96.0,80.0,49.63,4,4,female
291,1812,7814,93.33,96.0,80.0,74.45,4,5,female
292,212,8026,88.0,96.0,80.0,51.51,4,5,female
293,242,8268,92.0,96.0,80.0,70.2,4,5,female
294,179,8447,85.09,96.0,80.0,53.95,4,5,female
295,78,8525,87.17,96.0,80.0,33.52,4,6,female
